[0000.50-0003.30] hello 大家好 欢迎大家来参加陈硕老师的网红课
[0003.30-0006.42] 那么这些课老师给大家总结了50个讨喜人设
[0382.18-0382.82] 对方宠坏
[0382.82-0383.98] 这个女平文相应的
[0383.98-0384.34] 比较多
[0384.34-0384.90] 对吧
[0384.90-0386.74] 这个三十性格
[0386.74-0387.58] 弥护天然带
[0387.58-0388.46] 又天真
[0388.46-0389.38] 又直奥
[0389.38-0390.38] 看似软弱无力
[0390.38-0391.22] 实在遇到危险
[0391.22-0392.22] 会站在大家面前
[0392.22-0393.06] 那么实干牌
[0394.06-0394.50] 三十一
[0394.50-0395.34] 在谈恋爱的时候
[0395.34-0396.34] 常常会为对方
[0396.34-0397.10] 考虑周全
[0397.10-0398.30] 至于别人的能力很强
[0398.30-0399.34] 却在无人的角落里
[0399.34-0400.06] 独自流泪
[0400.06-0402.90] 这种就可以引发
[0402.90-0404.54] 女主的圣母心
[0404.54-0405.58] 可以母性
[0405.58-0406.02] 不是什么
[0406.02-0407.34] 圣母心是一个
[0407.34-0408.46] 这个独点
[0408.46-0409.46] 不要圣母
[0409.46-0409.94] 圣母心什么
[0409.94-0412.58] 就是无论反派怎么样
[0412.58-0413.02] 作恶
[0413.02-0414.10] 你都会去原谅他
[0414.10-0414.86] 这叫圣母心
[0414.86-0415.74] 圣母心是不可取得
[0415.74-0416.38] 是个独点
[0416.38-0419.18] 那么激发女性的母性
[0419.18-0420.10] 是可以的
[0420.10-0420.62] 好
[0420.62-0421.38] 三十二
[0421.38-0422.58] 不轻易的爱上一个人
[0422.58-0424.42] 可一旦决定爱上那个人
[0424.42-0425.22] 就会非常专情
[0425.22-0426.30] 妥妥的年人小可爱
[0426.30-0427.78] 你会发现年人小可爱
[0427.78-0429.50] 这种词用的会比较多
[0429.50-0430.22] 好
[0430.22-0430.62] 三十三
[0430.62-0431.34] 阳光活泼
[0431.34-0432.06] 正义感抱朋
[0432.06-0432.70] 虽然性格
[0432.70-0433.94] 单纯有时会被欺负
[0433.94-0435.62] 但绝对不会冷气吞声
[0435.62-0437.10] 能软能刚
[0437.10-0438.14] 还特能打
[0438.14-0439.98] 就主角如果说这个个性
[0439.98-0440.78] 比较果断
[0440.78-0441.66] 有仇必报
[0441.66-0442.34] 敢爱敢恨的话
[0442.34-0443.62] 这种人是也是很讨喜的
[0443.62-0443.90] 是吧
[0443.90-0444.26] 三十四
[0444.26-0444.94] 追求完美
[0444.94-0445.86] 爱较真任何事情
[0445.86-0446.78] 都希望做到最好
[0446.78-0448.38] 但对爱的人又非常地温柔
[0448.38-0448.98] 怎么都行
[0449.02-0450.50] 哪怕烧成灰也要吃下去
[0450.50-0451.66] 又是对爱的人
[0451.66-0452.74] 怎么样都是容忍的
[0452.74-0453.70] 但是对
[0453.70-0454.34] 就一开始
[0454.34-0454.90] 大家会觉得
[0454.90-0457.74] 他是比较一个有强迫症的人
[0457.74-0459.18] 追求完美爱较真
[0459.18-0459.70] 三十五
[0459.70-0461.02] 有动查事件
[0461.02-0461.98] 事件重点的能力
[0461.98-0463.50] 个性阴沉冷漠
[0463.50-0464.18] 难以琢磨
[0464.18-0464.86] 有仇必报
[0464.86-0465.58] 有仇必报
[0465.58-0467.10] 其实算是一个讨喜人设
[0467.10-0467.54] 有仇必报
[0467.54-0468.70] 一定是个讨喜人设
[0468.70-0469.98] 但私下情感敏感
[0469.98-0470.54] 感情心里
[0470.54-0472.06] 喜欢看浪漫言行小说
[0472.06-0473.78] 这个应该是个很难
[0473.78-0474.98] 男主角的这么一个人设
[0474.98-0475.42] 对吧
[0475.42-0475.90] 好
[0475.90-0476.70] 这个想法简单
[0476.70-0478.06] 一根镜实际上看
[0478.06-0479.06] 看人看是很通透
[0479.06-0480.82] 常常的一下子抓住别人的痛点
[0480.82-0482.02] 预示淡定冷静
[0482.02-0482.90] 淡定冷静
[0482.90-0483.62] 不炸炸糊糊
[0483.62-0484.98] 也是一个非常讨喜的人设
[0484.98-0486.18] 看是很偷透
[0486.18-0487.38] 大家都喜欢聪明人
[0487.38-0487.90] 三十七
[0491.98-0493.98] 脑子不会转弯能动手
[0493.98-0494.74] 绝不动嘴
[0494.74-0497.90] 也是果断有仇必报
[0497.90-0498.90] 三十八
[0498.90-0500.10] 表面上一幅温柔楼
[0500.10-0500.94] 碎叶静好的样子
[0500.94-0503.14] 实则精锋耗怼
[0503.14-0505.30] 怼人独舌
[0505.30-0507.86] 往往也是一个很讨喜的人设
[0507.86-0508.66] 放荡不计
[0508.66-0509.58] 有自己的一套形式
[0509.58-0510.86] 等着内心机器敞大
[0510.86-0511.58] 就是要独立
[0511.58-0513.06] 有自己的组件
[0513.06-0513.70] 三十九
[0513.70-0515.06] 外表拥揽内心成熟
[0515.06-0517.02] 但有时会表露脆弱的一面
[0517.02-0518.26] 看似开放大的
[0518.26-0519.46] 实则的保守传统
[0519.46-0520.42] 三四十
[0520.42-0522.02] 孤屁冷漠无情的天才
[0522.02-0523.34] 失责一根筋
[0523.34-0524.58] 汉植好奇宝宝
[0524.58-0526.14] 好奇宝宝
[0526.14-0526.54] ok
[0526.54-0527.54] 三十四十一
[0527.54-0528.86] 表面往动人心全速加
[0528.86-0529.82] 很少拿出真心
[0529.82-0530.94] 但是失得温柔可忍
[0530.94-0531.66] 瞎怪
[0531.66-0532.54] 特别是这个瞎怪
[0532.54-0533.66] 这个反弹有点大
[0533.66-0534.14] 对吧
[0534.14-0535.66] 前面是个全速全速加
[0535.66-0536.50] 后面是个瞎怪
[0536.50-0536.74] 是吧
[0536.74-0538.58] 是大家的气氛制造者
[0538.58-0541.06] 就如果说是一个很严肃的老爷爷
[0541.06-0541.26] 是吧
[0541.26-0543.98] 背后发现他是很搞怪
[0543.98-0544.26] 是吧
[0544.26-0545.86] 那是不是大家也很喜欢
[0545.86-0546.22] 四十二
[0546.22-0547.82] 表面目中无人天之骄子
[0547.82-0548.46] 自信其傲
[0548.70-0549.94] 失责敏感发生小耐狗
[0549.94-0550.46] 小耐狗
[0550.46-0551.90] 这个词用的也比较多
[0551.90-0552.66] 敏感玻璃心
[0552.66-0555.14] 一熟就撒娇
[0555.14-0556.78] 前后的确反差挺大的
[0556.78-0557.30] 四十三
[0557.30-0559.82] 表面移植
[0559.82-0561.66] 移
[0561.66-0562.46] 这写错了
[0562.46-0563.30] 移植气
[0563.30-0564.62] 移气指使了
[0564.62-0565.78] 乖张小祖宗
[0565.78-0567.54] 傲气失度
[0567.54-0568.70] 失责爱幻想
[0568.70-0569.46] 嫌与小灾灾
[0569.46-0570.98] 浪漫专情
[0570.98-0571.58] 四十四
[0571.58-0573.46] 外表看起来不学无数
[0573.46-0574.46] 暴躁流氓
[0574.46-0575.26] 失责正义感
[0575.26-0576.22] 暴捧暖心
[0576.22-0577.62] 骑士遇到有困难的人
[0577.62-0579.66] 第一时间帮助的爱心独行侠
[0579.66-0580.30] 独行侠
[0580.30-0581.46] 爱心独行侠
[0581.46-0582.02] 四十五
[0582.02-0583.10] 表面乍毛的小貓咪
[0583.10-0584.58] 天然丹门不自治
[0584.58-0586.50] 实则绝对护短冷静
[0586.50-0587.66] 护短也是很好的
[0587.66-0588.54] 护短也是很好的
[0588.54-0589.70] 一旦最好的人遇到危险
[0589.70-0591.22] 不惜牺牲自己也哪怕
[0591.22-0593.50] 破坏一切也要救出对方
[0593.50-0595.46] 这种情节在我们的电视剧里
[0595.46-0597.90] 也经常发现发生对吧
[0597.90-0598.50] 四十六
[0598.50-0600.26] 平常精力能干十分骄傲
[0600.26-0601.70] 一旦遇到喜欢的人
[0601.70-0603.10] 就会变笨变傻
[0603.10-0604.94] 说话语无伦次
[0604.94-0605.54] 四十七
[0605.54-0606.50] 乐观
[0606.50-0607.66] 爽朗元气十足
[0607.66-0608.86] 实则是缺乏安全感
[0608.86-0610.86] 受伤的这个少年阳光
[0610.86-0612.06] 受伤的少年
[0612.06-0612.66] 受了个多好
[0612.66-0614.98] 阳光开朗有过失去
[0614.98-0616.42] 同伴的惨痛经历
[0616.42-0618.22] 所以对同伴会更加真实
[0618.22-0621.06] 但偶尔也会因为感情用事
[0621.06-0623.98] 这种在不良少年
[0623.98-0625.38] 看起来好像是个不良少年
[0625.38-0626.30] 但是都是受过伤
[0626.30-0629.66] 然后女主温柔可人的怎么上去
[0629.66-0630.14] 对吧
[0630.14-0632.86] 用自己的温暖
[0632.86-0635.02] 温暖了男主的内心
[0635.02-0635.78] 对吧
[0635.82-0637.18] 48
[0637.18-0638.42] 表面无情无欲
[0638.42-0639.98] 高冷天才工程师
[0639.98-0641.58] 每天都在专严新的基础
[0641.58-0644.58] 实则内心少女粉红
[0644.58-0645.58] 粉毛
[0645.58-0647.14] 内心少女粉
[0647.14-0648.58] 毛绒控
[0648.58-0650.54] 万年睡眠不足
[0650.54-0651.14] 喜欢甜点
[0651.14-0653.18] 喜欢一起毛绒的这个东西
[0653.18-0654.18] 这个就是
[0654.18-0656.34] 这个表面应该是个男主
[0656.34-0656.58] 对吧
[0656.58-0657.22] 男主
[0657.22-0658.14] 男主
[0658.14-0659.58] 这个背后是个少女心
[0659.58-0661.02] 是个少女心
[0661.02-0662.42] 是有表面冷酷
[0662.42-0663.42] 胸残变态反弹
[0663.42-0664.94] 实则年少受伤
[0664.94-0666.30] 机器护断重视性
[0666.30-0667.46] 用尽全力保护
[0667.46-0669.30] 一切他所关心的人
[0669.30-0670.30] 五是表面冲动
[0670.30-0670.86] 暴脾气
[0670.86-0671.54] 无知猛夫
[0671.54-0672.82] 失德沐沐附出
[0672.82-0673.42] 守护
[0673.42-0674.22] 虽然个性冲动
[0674.22-0675.38] 但其实更
[0676.30-0678.74] 对这个任何事都认真看待和努力
[0678.74-0680.18] 然后也很会照顾人
[0680.18-0681.46] 这就是五十个人设
[0681.46-0682.38] 那这五十个人设
[0682.38-0684.34] 如果说同学懒得做笔记的话
[0684.34-0685.34] 那么就来加老师
[0685.34-0685.94] 或许就行了
[0685.94-0686.46] 一键三连
[0686.46-0687.18] 对吧
[0687.18-0687.38] 好
[0687.38-0688.62] 那么老师的小说客
[0688.62-0690.06] 那么这边有兴趣
[0690.06-0690.94] 就来报名吧
[0690.94-0692.38] 那么这节课就讲到这里
[0692.38-0693.38] 我是只讲干货的
[0693.42-0693.86] 孙崔老师
[0693.86-0694.66] 我们下节课见
