[0005.04-0007.04] 老師,能否在詳細講講
[0302.54-0303.54] 那意思說
[0303.54-0305.54] 每個人都有不同的武魂
[0305.54-0306.54] 便是隨機性
[0306.54-0307.54] 正是這樣
[0307.54-0308.54] 老師
[0308.54-0310.54] 你剛才說衝突可以升級
[0310.54-0311.54] 那這是否意味著
[0311.54-0313.54] 《誠意集之》這套理論
[0313.54-0315.54] 可以用來構建劇情?
[0315.54-0316.54] 當然可以
[0316.54-0318.54] 原理性的概念可以不斷演變
[0318.54-0320.54] 用在各種地方
[0320.54-0321.54] 能否展開講講
[0323.54-0325.54] 別總想這一步登天
[0325.54-0327.54] 把之前的學好了再說
[0327.54-0332.90] 幸好蒙混過關
[0332.90-0334.90] 下節課
[0334.90-0336.90] 還是不要有下節課好了
[0336.90-0342.64] 80年あります
