[0003.12-0006.64] 同样是追不到女神就比死还难受的电影
[0397.39-0398.39] 全身颤抖
[0398.39-0399.63] 双脚发软
[0399.63-0401.07] 但她还是鼓起勇气
[0401.07-0403.23] 约女神一起去看演唱会
[0403.23-0404.71] 在遭遇打击之后
[0404.71-0406.75] 她没有因此而变得消沉
[0406.75-0408.63] 反而积极地去学功夫
[0408.63-0410.59] 最终雕丝逆袭
[0410.59-0412.31] 能够证实自己的缺点
[0412.31-0415.35] 并不断的持之以恒的努力克服缺点
[0415.35-0416.99] 这才是真正的勇气
[0416.99-0418.95] 勇气绝不代表鲁马
[0419.91-0422.03] 可我就是觉得她懦弱
[0422.03-0424.47] 而且说不定严大海也克服了懦弱
[0424.47-0426.19] 完成了人物的成长
[0426.19-0427.75] 要保持人物的平衡
[0427.75-0430.07] 优点和缺点都很重要
[0430.07-0432.91] 不过身后刺激同样重要
[0432.91-0433.67] 在现实中
[0433.67-0435.55] 如果给人第一印象不好
[0435.55-0436.83] 想要让对方改观
[0436.83-0438.99] 需要耗费大量的时间精力
[0438.99-0440.83] 影片中也是一样
[0440.83-0442.55] 观众喜欢上角色后
[0442.55-0443.99] 角色身上的小缺点
[0443.99-0446.35] 会让观众觉得角色可爱
[0446.35-0449.47] 可观众对角色的第一印象很差的话
[0449.47-0450.83] 要改变观众的印象
[0450.83-0452.95] 是极其困难的事情
[0452.95-0455.47] 电影只有短短不到两个小时
[0455.47-0457.19] 更是难上加难
[0457.19-0459.27] 如果观众在家里观看电影
[0459.27-0460.43] 主角不讨喜
[0460.43-0463.95] 观众可能会直接选择放弃观看
[0463.95-0464.47] 哎哎
[0464.47-0466.35] 不是随比两部影片的吗
[0466.35-0468.87] 怎么只讲外卖仔不讲严大海
[0468.87-0469.51] 嗯
[0469.51-0472.39] 首先声明本人很喜欢小月月
[0472.39-0474.47] 其次这个片子嘛
[0474.47-0475.79] 带到时间合适
[0475.79-0476.51] 天气好
[0476.51-0478.19] 我心情也好的时候
[0478.19-0480.95] 我在斟酌斟酌要怎么讲
[0480.95-0482.67] 一虚伪
[0482.67-0484.47] 明明是你看不下去
[0484.47-0486.07] 你拉片的时候睡着了
[0486.07-0487.59] 别以为我不知道
[0487.59-0488.71] 去去去赶紧滚
[0488.71-0489.27] 嗯
[0489.27-0489.55] 好
[0489.55-0491.87] 我们继续讲剩下的三大绝技
[0494.86-0496.78] 由于节目组受到袭击
[0496.78-0498.62] 本期节目不得不终止
[0498.62-0499.62] 我们下期见
