[0010.19-0015.69] 在开始讲之前,我正中声明一下本期视频对于新人来说非常重要
[0146.89-0150.19] 因为你要表达思想表达故事的主要路径
[0150.19-0152.09] 就是主角去解决矛盾
[0152.09-0153.39] 那么这个矛盾怎么来
[0153.39-0157.79] 很大程度上都是由你的金手纸和金手纸面临的这些环境而来的
[0157.79-0159.99] 我在之前的视频里举过一个例子
[0159.99-0163.39] 就是在一个所有人一笑就会死的世界中
[0163.39-0164.59] 主角叫郭德纲
[0164.59-0165.69] 很多人觉得好笑
[0165.69-0167.99] 但是一笑就忘了为什么要这么设定
[0167.99-0172.99] 我的逻辑是当主角的金手纸是向上讲的很好的时候
[0172.99-0175.49] 所以我设定成人一笑就会死
[0175.49-0178.49] 那么我的逻辑是先有金手纸后有的这个设定
[0178.49-0179.39] 再举个例子
[0179.39-0181.19] 掌握了工业知识的主角
[0181.19-0185.19] 为什么总会去工业体系不发达的时代或世界呢
[0185.19-0186.49] 掌握毛选的主角
[0186.49-0190.49] 为什么会进入那些贫富差距过大即将革命的世界呢
[0190.49-0193.99] 因为金手纸和你的世界背景是息息相关的
[0193.99-0195.99] 是要碰撞出激烈火花的
[0195.99-0196.99] 如果没有这一点
[0196.99-0200.19] 你的小说的张力和矛盾是绝对不够的
[0200.19-0201.79] 那么新人最大的一个问题
[0201.79-0203.59] 就是没有按照这个逻辑顺序
[0203.59-0204.79] 去思考金手纸
[0204.79-0205.99] 为什么存在的意义
[0205.99-0208.69] 所以希望各位能注意到这一点
[0208.69-0209.29] 第三点
[0209.29-0211.99] 我们的金手纸尽量不要宣兵夺主
[0211.99-0214.69] 之前我说不推荐新人去写系统文
[0214.69-0215.19] 为什么
[0215.19-0216.29] 因为开始的时候
[0216.29-0218.29] 你的系统会成为一个辅助
[0218.29-0219.69] 但是发现卡文的时候
[0219.69-0222.29] 往往就会让系统去给主角安排任务
[0222.29-0224.19] 这个时候主角还是主角吗
[0224.19-0226.09] 主角已经成为了系统的傀儡
[0226.09-0229.99] 有些文主角完全就是系统用来装逼的一个工具人
[0229.99-0231.99] 这样的情况不是说不行
[0231.99-0234.09] 因为有些文的确是靠这个赚钱的
[0234.09-0237.09] 但是我希望如果你要表达思想的话
[0237.09-0240.39] 尽量不要让主角成为系统的一个工具或者傀儡
[0240.39-0241.29] 而除了系统
[0241.29-0244.59] 很多金手纸也有影响主角决定的可能
[0244.59-0245.79] 那么在你设定的时候
[0245.79-0247.59] 你就一定要思考这个问题
[0247.59-0249.59] 并且尽量要避免这个风险
[0249.59-0250.29] 那第四点
[0250.29-0252.89] 就是金手纸在书的前中后期
[0252.89-0255.19] 都能对主角解决主要矛盾
[0255.19-0256.59] 能起到决定性作用
[0256.59-0258.29] 很多人看书的时候都会有体会
[0258.29-0260.59] 就是到文章中期后期的时候
[0260.59-0262.29] 金手纸已经可有可无了
[0262.29-0264.59] 这个时候你也会觉得书开始变得乏味
[0264.59-0266.49] 养书养了养了就养丢了
[0266.49-0267.39] 原因是什么呢
[0267.39-0268.89] 因为绝大多数小书
[0268.89-0270.79] 主角一开始都是孤身奋战的
[0270.79-0272.69] 这个时候你依靠一个金手纸
[0272.69-0274.19] 去累积你的原始资源
[0274.19-0276.69] 那么累积到十倍百倍千倍之后
[0276.69-0278.99] 有些金手纸就会开始变得积累
[0278.99-0279.99] 举个简单的例子
[0279.99-0282.29] 主角依靠武医高强这个金手纸
[0282.29-0283.69] 在战场上打胜打死
[0283.69-0284.79] 后来成为将军
[0284.79-0285.59] 成为将军以后
[0285.59-0286.99] 绝大多数的战局
[0286.99-0289.09] 都是不需要亲自冲锋陷阵的
[0289.09-0290.99] 这个时候主角为了符合逻辑
[0290.99-0293.29] 必须站在幕后去指挥其他人
[0293.29-0294.59] 这个时候他的金手纸
[0294.59-0297.39] 就已经不再是成为解决问题的主要因素了
[0297.39-0298.29] 那么到这一步
[0298.29-0299.39] 剧情不一定崩
[0299.39-0300.49] 爽点不一定少
[0300.49-0302.19] 但是丁岳会一定下降
[0302.19-0304.99] 因为很多人会觉得你这个文章的感觉变了
[0304.99-0307.39] 因为我点开你这个文的时候
[0307.39-0309.69] 我是想看你的金手纸大杀四方的
[0309.69-0311.49] 但是到后来你变成了重田
[0311.49-0312.69] 你变成了幕后大佬
[0312.69-0313.29] 这样的话
[0313.29-0315.09] 就和我一开始的初衷相违背
[0315.09-0317.89] 你失去了金手纸这个毛点以后
[0317.89-0320.59] 你的文章风格一定会开始慢慢转变
[0320.59-0322.89] 那么很多人就会不接受这个转变
[0322.89-0325.39] 由此产生订阅下降这个现象
[0325.39-0327.29] 不过现在的问题是很多新人
[0327.29-0329.99] 并不知道我的书写到100万字以后是什么样
[0329.99-0332.89] 所以我提供一个简单的思考的模板
[0332.89-0334.49] 总结今天的这些概念
[0334.49-0336.09] 你在设置金手纸的时候
[0336.09-0337.89] 挨个去回答这些问题
[0337.89-0338.89] 等你答完了
[0338.89-0339.99] 心里就会有数了
[0339.99-0341.19] 那么今天的作业
[0341.19-0343.19] 我不需要你写一个金手纸
[0343.19-0345.39] 因为创意是可欲不可求的
[0345.39-0346.79] 有些人的创意很好
[0346.79-0348.49] 但我不希望你们暴露出来
[0348.49-0349.99] 然后去给别人当嫁衣
[0349.99-0352.49] 所以今天我的作业是说出一本
[0352.49-0354.39] 你印象深刻的小说
[0354.39-0356.19] 把他的金手纸总结出来以后
[0356.19-0358.99] 你看看符合以上这五点的哪几点
[0358.99-0360.49] 今天的课程的内容
[0360.49-0361.89] 我会总结成文字版
[0361.89-0363.09] 发在我的专栏里
[0363.09-0364.19] 各位需要的话
[0364.19-0365.49] 随时可以去保存
[0365.49-0367.69] 记住不要当教条主义者
[0367.69-0369.49] 你不一定完全符合
[0369.49-0372.29] 只要你能在这过程中产生更多的思考
[0372.29-0373.49] 打开更多的思路
[0373.49-0374.29] 那就OK了
[0374.29-0376.09] 那么今天的视频就到这里
[0376.09-0376.79] 谢谢大家
[0376.79-0377.79] 欢迎关注三连
