[0000.00-0002.20] 我们先来对比一下两个人
[0202.40-0203.60] 后面的一些例子
[0203.60-0205.70] 其实已经脱离金手指的范畴了
[0206.10-0207.60] 但为了方便讲解
[0207.70-0209.30] 我就统一称为金手指
[0210.60-0213.00] 即使我们知道了金手指的本质
[0213.20-0215.50] 但还是有很多小伙伴不会使用
[0216.00-0218.10] 有的金手指甚至会劝退读者
[0218.60-0221.40] 可见金手指的使用也是需要技巧的
[0221.96-0224.20] 那什么是一个合格的金手指呢
[0225.26-0229.00] 第一点金手指要给主角带来某些方面的优势
[0229.30-0230.80] 但这个优势不能太大
[0231.00-0232.90] 你问你一上来就是一拳超人
[0232.90-0235.20] 开启秒天秒地秒空气的模式
[0235.80-0238.20] 这样故事一开始就没办法讲下去了
[0238.90-0239.90] 你都无敌了
[0239.90-0241.60] 我该匹配什么样的困境
[0241.60-0243.20] 才能给主角造成困扰呢
[0243.50-0245.20] 我们给主角一个金手指
[0245.20-0248.00] 是为了让他占胜原本占胜不了的困境
[0248.30-0250.70] 给他占胜困境一个合理的解释
[0250.70-0251.80] 增加带入感
[0252.10-0253.70] 而不是为了让他去装逼
[0254.60-0257.00] 你的金手指要匹配相应的困境
[0257.40-0259.10] 这样才能发挥出他的魅力
[0259.50-0261.20] 读者看着才会爽快
[0262.10-0264.10] 金手指给主角带来的优势
[0264.10-0265.70] 最好体现在以下方面
[0266.50-0269.30] 首先就是给主角一个上排桌的资格
[0270.00-0271.70] 主角拥有了这个金手指
[0271.70-0274.00] 他就有资格挑战强大的困境
[0274.50-0275.60] 没有这个金手指
[0275.60-0276.90] 那就是死路一条
[0277.00-0279.10] 经典例子就是立体激动装置
[0279.70-0281.90] 虽然人类拥有了立体激动装置
[0281.90-0283.90] 面对巨人也是死伤惨重
[0284.80-0286.50] 但没有立体激动装置
[0287.00-0288.80] 面对巨人那就一定是个死
[0289.20-0290.40] 这一类的金手指
[0290.40-0291.70] 不会让主角太强
[0292.30-0294.80] 主角使用他命令的风险依旧很高
[0295.30-0296.40] 但没有他
[0296.40-0297.90] 整个故事就无成立
[0298.40-0301.30] 人类究竟靠什么才能战胜强大的巨人呢
[0301.90-0304.40] 立体激动装置的设计妙妙在
[0304.40-0307.00] 他不能让你直接轻易的战胜巨人
[0307.20-0309.20] 但是只要在挥用的人手上
[0309.20-0311.40] 他的战斗力是称几何几提升的
[0311.70-0313.90] 你可以发现立体激动装置
[0313.90-0315.40] 在山里和冰掌手上
[0315.40-0316.60] 那就是不一样的
[0317.30-0318.80] 在有天赋的人手上
[0319.00-0321.10] 他们的战斗力提升非常夸张
[0321.50-0324.60] 而且立体激动装置在制定好合理的计划后
[0325.00-0328.20] 普通人也能通过团队合作狩猎智慧巨人
[0328.60-0330.70] 就像森林里福基女巨人那一段
[0331.10-0333.90] 这就逼迫人类和巨人双方就必须自动
[0334.60-0336.60] 智慧巨人不能轻易的出击
[0336.60-0339.00] 他也必须要考虑风险制定计划
[0339.40-0341.40] 这就让双方的争斗就非常好看
[0341.90-0343.50] 毕竟拿一方一旦失误
[0343.50-0345.10] 都将承受惨痛的代价
[0346.40-0348.70] 第二种就是帮助主角快速成长
[0349.40-0352.60] 绝大部分优秀的金手指都是集中在这个方面
[0352.90-0355.50] 他们有些能提升主角的修炼效率
[0355.90-0359.50] 有些可以让主角在一段时间内拥有安全的修炼环境
[0359.90-0361.70] 我们就看一下最经典的例子
[0362.10-0364.20] 斗破昌兄李萧嫣的金手指
[0364.40-0364.90] 要老
[0365.20-0368.00] 要老有过一次直接提升萧嫣的实力吗
[0368.20-0368.70] 没有
[0369.30-0371.20] 要老大给萧嫣最珍贵的东西
[0371.30-0373.40] 就是上线极高的成长规划
[0373.60-0374.90] 要老曾经是斗尊
[0375.10-0377.60] 拥有斗气世界几乎最底尖的剑齿
[0378.00-0380.70] 他知道一个人该怎么成长到他的层次
[0381.20-0383.10] 他知道某些奇迹该怎么获得
[0383.10-0384.80] 某些危险该怎么避开
[0385.20-0387.00] 提升实力的关键是什么
[0387.70-0390.70] 一个优秀的老师对学生的提升就是巨大的
[0391.50-0394.60] 而萧嫣的佛鲁火年就是另一个形式的金手指
[0395.50-0396.60] 靠着佛鲁火年
[0396.80-0399.60] 可以让自己在面对高境界敌人时保命
[0399.80-0401.50] 不用太担心生存的问题
[0402.40-0403.60] 萧嫣靠着这个火年
[0403.60-0406.90] 就可以去很多超越自己境界的地方争夺资源
[0407.30-0409.20] 从而获得许多超前的资源
[0410.40-0413.40] 我们可以发现大多数优秀的金手指
[0413.50-0415.80] 最后的左利点都是帮助主角
[0415.90-0419.50] 让他通过自己的努力和奋斗去解决最终的困境
[0419.90-0422.50] 这是因为我们的基因里就有这么一个意思
[0423.20-0425.70] 轻易走来的外力永远都是虚幻的
[0426.40-0430.10] 只有自己扎实奋斗的东西才是真正靠得住的
[0431.10-0434.60] 第二点金手指需要及时更化或者升级
[0435.50-0437.40] 金手指不能一开始就很强
[0437.90-0439.70] 但是他也不能一层不变
[0440.20-0441.60] 因为随着主角的冒险
[0441.70-0443.90] 他势必会遇上更强大的困境
[0444.20-0446.60] 如果你的金手指要一直用到底的话
[0446.90-0448.90] 他就必须具备可升级的特性
[0449.10-0450.70] 跟着主角一起变强
[0451.20-0453.80] 这样才能应对以后越来越强的困境
[0454.40-0456.20] 所以在一开始设计的时候
[0456.30-0459.00] 我们就要给他留下一个可升级的潜力
[0459.30-0463.40] 就比如钢铁侠的钢铁战衣就具备广阔的升级潜力
[0463.70-0466.70] 钢铁战衣不仅仅可以从设计上继续优化
[0466.90-0471.50] 还可以从材料、农源、功能专精等各个方面举与升级
[0471.70-0473.90] 钢铁侠的战衣是越来越强的
[0474.00-0477.20] 它能根据不同的敌人来升级不同的功能
[0477.40-0479.50] 而后续经过设计和改造
[0479.80-0483.20] 钢铁战衣甚至升级了专门针对律剧人用的版本
[0483.60-0486.00] 正是钢铁战衣这种可升级的特性
[0486.20-0489.70] 一定程度上促使钢铁侠成为了抗洪灭霸的主力
[0490.30-0491.20] 宇宙那么大
[0491.40-0493.90] 寻找一些珍惜材料和独特设计
[0494.30-0497.90] 将钢铁战衣升级成对抗越霸的版本也不是不可能
[0498.50-0501.70] 相对应的美国队长的升级就停滞很久了
[0502.20-0505.40] 它只能借助雷神的铁锤才能和灭霸抗衡
[0505.70-0507.20] 否则看上去就很怪
[0507.70-0510.20] 如果这个金手指也不准备用到底
[0510.50-0513.10] 或者这个金手指本身的上限没有那么高
[0513.40-0516.20] 你就要在适当的时候寻找到新的新手指
[0516.60-0518.60] 以此来应对越来越强的困境
[0519.20-0521.00] 这一点我们应该很熟悉了
[0521.40-0523.10] 就是小时候的探索寻宝
[0523.40-0527.00] 主角往往在探索当中会获得更强的功法宝物
[0527.30-0528.60] 让自己得以成长
[0529.10-0531.40] 第三点要突出故事的特色
[0532.00-0535.10] 我们说过金手指之所以被踢到开头
[0535.30-0537.80] 很大程度就是我们需要让独者知道
[0538.10-0541.90] 主角会用一个独特的方式去解决独特的困境
[0542.70-0546.20] 所以现在金手指就承担了一个吸引独者的职能
[0546.50-0549.80] 金手指要基于你讲的故事进行特色化
[0550.30-0552.90] 这一点不仅仅是要展示你的故事特色
[0553.20-0555.40] 还是合理推进剧情的重要方式
[0556.20-0557.50] 举个很简单的例子
[0558.00-0561.80] 为什么商战的故事很喜欢用穿越这一方式
[0562.50-0565.90] 穿越为主角带来的优势就是超勤的信息差
[0566.40-0569.60] 而信息差在商战中是极为巨大的优势
[0570.10-0571.60] 你说一个商战故事
[0571.90-0574.00] 你弄一个增强肌肉的金手指
[0574.20-0575.80] 这不是驴蠢不对马嘴吗
[0576.30-0578.50] 除了这种合理性上的需求外
[0578.70-0581.30] 金手指最好体现出你的故事特色
[0581.50-0583.00] 提高独者的期待感
[0583.30-0584.20] 再举个例子
[0584.50-0587.40] 假如我要写一本克苏鲁斯列官的小说
[0587.90-0590.30] 我获得的金手指应该是什么东西
[0591.40-0592.70] 不可能是低声以后
[0592.70-0595.30] 亲爱的宿主克苏鲁斯探浅礼包一起动
[0595.50-0597.00] 请宿主尽快领取吧
[0598.30-0600.40] 你可以试一个奇怪的雕像
[0600.90-0604.60] 一本诡异的人皮书又获得是一段难以理解的密奏
[0605.10-0608.40] 甚至于有脑袋里住进去一个就职支配者都行
[0609.10-0611.50] 只要是克苏鲁斯列中的经典元素
[0611.60-0613.30] 你都可以当作你的金手指
[0614.70-0616.00] 接下来就是重点了
[0616.60-0620.10] 我通过这个金手指能给主角带来什么优势呢
[0621.10-0623.50] 常规的写法就是可以直接获得一项
[0623.50-0625.30] 就职支配者负义的能力
[0625.90-0627.40] 比如说可以变成余人
[0627.70-0629.70] 召唤一条巨大的触手什么的
[0630.00-0633.00] 如果你要营造一种更加疯狂的克苏鲁斯箭
[0633.30-0636.10] 这个金手指可以是提高你的认知能力
[0636.50-0639.60] 让你来面对上位支配者时不至于发疯
[0639.90-0642.50] 我们知道克苏鲁斯列中有这么一个设定
[0642.90-0646.10] 当里面对超越你认知很多的生物的时候
[0646.40-0648.70] 你就会因为不理解而直接发疯
[0649.60-0651.20] 当你拥有了这个金手指
[0651.40-0655.20] 你就可以比别人有更长的时间去研究这些就职支配者
[0655.70-0658.00] 你从中获得的禁忌支持也就越多
[0658.30-0660.50] 你就能比别人获得更多的优势
[0661.10-0665.20] 金手指一定要和故事的世界观进行一个深度融合
[0665.70-0668.10] 让它展示故事特色吸引读者
[0668.50-0670.70] 好了我们现在设计了一个金手指
[0671.20-0674.40] 现在我们要考虑的是如何将金手指用好
[0674.80-0677.20] 再好的神器不会使用也是百搭
[0677.60-0678.60] 首先第一点
[0678.90-0681.60] 我们要给金手指搭建一个合适的舞台
[0681.90-0684.10] 曾经我在支付回答过一个问题
[0684.60-0687.50] 那个小伙伴设计了一个挖掘机的金手指
[0687.90-0690.60] 具体来说就是它拥有一个挖掘机系统
[0690.90-0693.00] 可以探测土壤里的稀有金属
[0693.20-0695.40] 也可以在很深的地下进行挖掘
[0695.80-0698.60] 然后这位小伙伴的前两张内董就是在地下
[0699.20-0701.80] 内董就是自己找到了什么样的金手指
[0702.30-0705.00] 然后又介绍了挖掘机的各种功能
[0705.30-0707.20] 这样的开斗当然会相当无聊
[0707.50-0710.90] 挖掘机显然也不是一个令人期待的金手指
[0711.30-0713.60] 但只要我们将它的舞台搭建好了
[0713.80-0715.80] 它同样的让人产生期待感
[0716.10-0718.00] 在保留基本功能的情况下
[0718.30-0722.50] 我们首先要明白挖掘机给主角带来了什么优势
[0723.00-0726.90] 很显然他可以让主角很轻易的发现各种稀有金属
[0727.20-0728.20] 并且挖掘出来
[0728.70-0731.20] 我们就要围绕着这个稀有金属来做文章
[0731.70-0734.50] 主角利用这个能力自己开一家矿益公司
[0734.80-0737.90] 利用强大的探索能力提前买地高效开采
[0738.20-0742.20] 在地球上主角可以通过这个采矿公司提供稀有金属
[0742.70-0746.20] 在国家层面帮助国家实现科技突破和复抢
[0746.50-0748.50] 当然如果你想要更刺激一点
[0748.80-0750.30] 就将实践线往后拉
[0750.60-0752.90] 将时代背景设置在太空时代
[0753.50-0755.90] 太空时代拥有太多的无主星球
[0756.20-0759.20] 而随便一个星球隐含的矿埋都是巨大的
[0759.30-0762.90] 这个挖掘机系统完全可以通过升级适应太空环境
[0763.30-0765.90] 然后在宇宙中进行稀有矿布的挖掘
[0766.10-0769.00] 这个时候你就可以将时代设置的乱一些
[0769.30-0771.70] 比如人类和外星人发生了战争
[0772.10-0774.20] 对稀有矿布需求激增
[0774.70-0779.10] 这样主角开办的宇宙矿物公司就将获得更大的发挥空间
[0779.90-0781.90] 你可以在其中大发战争彩
[0782.40-0784.70] 又或者自己收购一家武器公司
[0784.80-0788.60] 通过武器公司制造先进的武器帮助人类战胜外地
[0789.10-0790.90] 如果我们再谈的极端一点
[0791.20-0793.80] 这种金手指发挥的最好的地方是什么
[0794.30-0796.10] 是一种机械宇宙文明
[0796.60-0798.90] 比如汽车人、霸天甫之类的
[0799.30-0802.70] 稀有矿物将是这些机械文明的升级血脉
[0803.10-0806.20] 它们可以利用这些稀有矿脉进行升级强化
[0806.80-0808.50] 至此我们可以看到
[0808.80-0810.90] 即使是挖掘机这样的金手指
[0811.20-0812.80] 只要将背景设置好了
[0813.00-0814.90] 一样可以写出精彩的故事
[0815.80-0818.10] 金手指说到底只是个工具
[0818.60-0821.40] 当你真的觉得某个金手指非常有趣的时候
[0821.80-0824.20] 你就要为它搭建一个合适的舞台
[0825.00-0828.10] 第二点就是金手指不能使用的太频繁
[0828.40-0831.80] 如果主角可以用一种办法解决所有的困境
[0832.10-0834.60] 那本质上来讲就是困境太简单
[0835.10-0837.00] 这样很容易让独者感到无聊
[0837.30-0839.40] 因为你的金手指太过于万人
[0839.90-0841.60] 总觉得根本就不需要思考
[0841.70-0844.00] 它要做的只是像按钮一样
[0844.30-0846.30] 想办法发动金手指就可以了
[0846.50-0848.40] 这样就有点像异权超人了
[0848.80-0850.30] 异权超人就是这样的
[0850.30-0852.90] 它无论打谁基本上就是异权救描
[0853.30-0856.00] 时间久了这样的故事又有什么意思呢
[0857.30-0859.30] 那这个时候就有小伙伴问了
[0859.80-0862.10] 那为什么异权超人现在这么好看
[0862.90-0866.50] 你看十级的内容里有几级是看到其余动手的
[0867.00-0869.90] 异权超人的大部分篇幅都是来配决身上的
[0870.80-0873.70] 强大的金手指一定会让剧情变得无聊
[0874.20-0877.70] 越是强大的金手指越有更严格的使用条件
[0878.10-0879.80] 悟空的元气弹强不强
[0880.30-0884.50] 但它长到离谱的聚集时间在那个级别的战斗就是最大的破绽
[0885.90-0889.50] 极端一点说金手指在解决第一个困境之后
[0889.60-0891.40] 它就不能解决第二个困境了
[0891.80-0894.30] 你必须让总决对金手指进行升级
[0894.50-0896.50] 或者利用金手指让自己变强
[0896.80-0898.30] 以应对下一次挑战
[0899.00-0900.50] 第三点不要对设定
[0900.70-0903.20] 要来具体的困境当中展示金手指
[0903.70-0907.30] 很多小伙伴一上来就是介绍这个金手指的功能是什么呀
[0907.70-0909.50] 这个金手指的有什么用途
[0909.80-0911.70] 这个世界怎么怎么样巴拉巴拉的
[0912.20-0915.00] 相信我独走看到这些只会默默的走掉
[0915.30-0917.10] 他们不会想了解这些东西的
[0917.70-0922.60] 因为他们想看到的是主角如何利用这些金手指去解决困境
[0923.00-0926.60] 而不是通过你的讲述了解这个金手指有多么好玩
[0927.20-0931.60] 介绍金手指最好的办法就是在危机当中让它直接发挥作用
[0932.50-0935.90] 在这一点上竞技的巨人就是一个非常好的例子
[0936.60-0940.10] 我们来看看竞技的巨人第一集是怎么介绍金手指的
[0940.60-0943.90] 第一目就是疾父视觉冲击力的超大巨人
[0944.60-0946.50] 看到没有它根本就不废话
[0946.70-0951.00] 直接展示了聚集中最大的敌人也是最鲜明的特色巨人
[0951.50-0953.40] 而且是没有皮肤的超大巨人
[0954.60-0959.70] 开场一分钟都没有故事特色危机视觉冲击力全都有了
[0960.50-0963.10] 第二步马上就进入调查兵团的视野
[0963.50-0965.40] 然后立即激动装置出现了
[0966.10-0968.00] 他们立刻就开始受力巨人
[0968.70-0970.60] 金手指如何使用介绍了
[0971.10-0972.80] 战胜敌人的手段展示了
[0973.20-0976.20] 哪些人会去面对巨人此时也隐喻了
[0977.10-0978.80] 接着来进入OP主题曲
[0979.40-0981.30] 然后才慢慢介绍爱伦的来历
[0981.50-0983.20] 铺垫他此刻幸福的家庭
[0983.60-0985.70] 为未来他统分巨人埋下伏笔
[0986.30-0988.10] 这就是极为高效的叙事
[0988.50-0991.20] 制作组没有像上课一样给你慢慢解释
[0991.30-0992.80] 这是一个什么样的世界
[0992.90-0994.70] 巨人是什么弱点是什么
[0994.90-0998.50] 而是选择将最有震撼力的最可能吸引观众的内容
[0998.80-1000.00] 一开始就放出来
[1000.40-1002.50] 而且通过短短几十秒的画面
[1002.50-1004.30] 就将金手指展示清楚了
[1004.60-1007.30] 最后呈现出来的效果也是有目共睹的
[1007.80-1010.00] 观众没有了解全部的信息
[1010.20-1012.10] 对理解剧情有什么影响吗
[1012.40-1013.00] 没有
[1013.50-1016.20] 当然小说不能完全照办巨人的开头
[1016.40-1018.70] 因为巨人是有画面作为支撑的
[1018.70-1019.90] 而小说没有
[1020.40-1021.70] 小说能参考的就是
[1021.70-1024.90] 尽可能的在开头就展示你的故事特色
[1025.20-1026.80] 并且对主角一个困境
[1026.80-1028.70] 让他在困境中推进剧情
[1029.10-1030.30] 这也要说明一点
[1030.50-1032.50] 你的困境要足够吸引人
[1032.90-1034.50] 太老套的就不要使用了
[1034.80-1035.90] 课书卤故事中
[1035.90-1038.60] 你就老老实实写得到了诡异的雕像
[1038.90-1041.80] 然后开局就丢点客气的怪物在身边吧
[1042.30-1044.70] 没有必要一开始就写睁开眼睛
[1044.70-1046.00] 了解周围的情况
[1046.20-1046.60] 哦
[1046.70-1047.50] 我穿越了
[1047.80-1050.50] 或者说醒来以后就涌入了各种各样的记忆
[1051.00-1052.50] 哦原来我是谁
[1052.70-1054.40] 这个势力是什么样的时间
[1054.90-1057.00] 没有意义这其实就是对设定
[1057.50-1058.50] 你还不如这么写
[1058.80-1059.60] 醒过来
[1060.10-1061.80] 身边怎么有四个余人为重
[1062.30-1063.60] 我怎么还没有穿衣服
[1064.20-1066.80] 在困境中多展示你的故事特色
[1067.20-1069.80] 一开始就让读者看到他们想看的东西
[1070.30-1072.20] 金手指之所以会出现
[1072.30-1074.70] 就是因为开头需要吸引读者
[1075.20-1076.20] 换句话来说
[1076.40-1079.20] 如果我的开头一开始就让读者吸引住
[1079.40-1081.20] 那金手指需不需要出现
[1081.20-1082.30] 那都没有关系了
[1082.70-1085.40] 当你开头面临的危机足够吸引人
[1085.60-1088.20] 或者你的世界设定足够有趣
[1088.80-1089.90] 你就完全没有必要
[1089.90-1091.70] 公式化一定要出现主角
[1091.70-1092.90] 一定要出现金手指
[1093.40-1095.40] 吸引读者为最优先的药物
[1095.90-1097.70] 有没有金手指都是其次
[1098.30-1100.20] 好了本期视频就讲完了
[1100.60-1102.90] 下一期视频我们讲一讲期待感
[1103.20-1105.50] 一个期待感究竟是怎么塑造的
[1105.90-1108.20] 读者所看到的期待感是什么样的
[1108.50-1111.00] 后面的视频我还想征求一下大家的意见
[1111.30-1112.40] 我有两个方向
[1112.80-1115.10] 一个是各类金手指的详细讲解
[1115.40-1116.60] 比如迁道系统
[1116.60-1117.40] 穿越系统
[1117.56-1119.20] 另一类是各种类型小说
[1119.20-1120.70] 如何写好的一个讲解
[1121.00-1123.40] 比如上市小说或是小说等等
[1123.80-1126.00] 大家可以将想看的发呆评论区
[1126.00-1127.90] 不会参考点赞量较高的评论
[1127.90-1129.10] 制作后续的内容
[1129.90-1131.70] 好了感谢各位理解三年
[1131.70-1133.00] 这对我真的很重要
