[0000.00-0002.28] 好的 各位朋友们 头子杀回来了
[0002.28-0004.80] 停耕这段时间 头子并没有闲着
[0004.80-0006.96] 我给大家做了一套硬核的付费课程
[0637.40-0640.48] 向上溯源想一想能力是从哪来的
[0640.48-0643.08] 头子给的答案是能力来自于认知
[0643.08-0645.16] 认知是角色拥有能力的基础
[0645.16-0646.12] 你需要知道怎么做
[0646.12-0648.44] 才有可能去作兵最终形成能力
[0648.44-0650.24] 比如你需要知道运转功法
[0650.24-0651.76] 才能修炼出灵力
[0651.76-0654.16] 你需要知道菜谱才能做出马汉全席
[0654.16-0656.04] 认知决定能力的上限
[0656.04-0658.08] 对事物理解的深度和广度
[0658.08-0659.52] 即任之水平往往决定了
[0659.52-0661.48] 你能把相关能力发挥到什么高度
[0661.48-0662.72] 理解更深的功法
[0662.72-0664.32] 修炼更快 威力更大
[0664.32-0665.80] 这是合乎逻辑的
[0665.80-0666.84] 那么我们的金手指
[0666.84-0669.84] 可不可以直接用认知作为提升的中心呢
[0669.84-0670.92] 当然是可以的
[0670.92-0672.48] 而且效果会很好
[0672.48-0674.24] 想象一下别人还在苦苦摸索
[0674.24-0676.12] 主角已经动系本质
[0676.12-0677.52] 别人还在解小学方程
[0677.52-0679.40] 主角已经在玩转量子力学
[0679.40-0681.12] 这种认知层面的碾压
[0681.12-0682.84] 本身就是一种巨大的爽感
[0682.84-0684.48] 但在了解如何用金手指
[0684.48-0686.00] 提升决策认知之前
[0686.04-0688.12] 投资必须给大家打一击预防针
[0688.12-0690.08] 讲讲认知的几个关键特性
[0690.08-0693.28] 这直接影响我们设定的效果和受众选择
[0693.28-0696.24] 第一 相同认知才能产生认同感
[0696.24-0698.76] 读者能理解和共鸣的
[0698.76-0701.12] 往往是他们认知范围内
[0701.12-0703.28] 或能逻辑推导出的东西
[0703.28-0704.20] 主角的认知
[0704.20-0706.72] 如果完全超出读者理解范畴
[0706.72-0708.52] 读者会觉得假大空
[0708.52-0710.08] 不明角力但无感
[0710.08-0711.80] 第二 第一 认知无法共情
[0711.80-0713.84] 高认知处于较低认知水平的人
[0713.84-0714.32] 或读者
[0714.32-0716.84] 很难真正理解和感受到高认知水平
[0716.84-0718.80] 角色的思维乐趣和优越感
[0718.80-0720.80] 他们可能只觉得主角好牛
[0720.80-0722.76] 但无法带入那种思维的快感
[0722.76-0725.96] 第三 高认知对低认知才会产生优越感
[0725.96-0727.52] 双点往往来源于比较
[0727.52-0730.60] 主角的认知水平明显高于故事中的其他角色
[0730.60-0733.24] 尤其是反派权威读者站在主角视角
[0733.24-0736.20] 就能享受到智商碾压动系一切的优越感
[0736.20-0739.48] 第四 人无法真正理解自己认知之外的逻辑
[0739.48-0740.20] 这是硬伤
[0740.20-0741.96] 完全基于读者无法想象
[0741.96-0743.32] 无法理解的逻辑体系
[0743.32-0745.52] 比如某些极度硬核的科幻设定
[0745.52-0747.28] 会天然形成阅读门槛
[0747.28-0749.12] 人为的把作品小中化
[0749.88-0752.96] 这些特性直接决定了某些题材的生死
[0752.96-0753.96] 给个例子解释一下
[0753.96-0755.24] 比如我们穿越到过去
[0755.24-0758.52] 利用现在的认知解决过去的问题是完全可以的
[0758.52-0759.84] 但是各位有没有想过
[0759.84-0762.56] 为什么没有未来回归文这种类型呢
[0762.56-0763.12] 按照道理
[0763.12-0764.24] 如果我们穿越到未来
[0764.24-0767.00] 回到现在用未来的认知解决现在的问题
[0767.00-0768.60] 也是可以制造爽点的
[0769.16-0770.76] 可为什么没人写呢
[0770.76-0772.92] 设想一下主角从高科技未来
[0772.92-0773.68] 回到现在
[0773.68-0776.80] 利用未来的黑科技和知识调达当代的反派
[0776.80-0778.36] 应该也是可以形成爽感的
[0778.36-0779.48] 但问题随之而来
[0779.48-0781.76] 未来的高认知对当代人
[0781.76-0783.92] 包括读者是陌生的难以理解的
[0783.92-0787.12] 读者和当代角色处于同一认知水平
[0787.12-0790.12] 无法带入主角那种高认知的快感
[0790.12-0790.68] 爽感
[0790.68-0791.40] 大打折扣
[0791.40-0794.04] 反之穿越古代文大型其道
[0794.04-0795.12] 就没有这个问题
[0795.92-0798.96] 再比如为什么科幻在网文中相对小众
[0799.00-0801.08] 因为硬核科幻往往涉及大量前沿
[0801.08-0802.40] 或假想的科学理论
[0802.40-0804.16] 这些高认知门槛的知识
[0804.16-0805.52] 普通读者理解困难
[0805.52-0806.36] 耽误感弱
[0806.36-0807.76] 自然受众面窄
[0807.76-0810.60] 成功的网文科幻往往会把高概念做软化
[0810.60-0813.76] 处理或者聚焦于读者更容易理解的层面
[0813.76-0815.00] 比如星际战争
[0815.00-0815.96] 机甲战斗
[0815.96-0816.96] 根据这些特性
[0816.96-0818.80] 你可以给角色增加的认知
[0818.80-0821.24] 需要建立在读者认知的基础之上
[0821.24-0823.80] 或者建立在逻辑链条之上
[0823.80-0824.88] 比如俊宫狂人
[0824.88-0827.04] 开举手搓钢铁战衣
[0827.04-0828.28] 这是给角色增加了
[0828.28-0830.08] 制造钢铁侠战衣的认知
[0830.08-0831.92] 他能吸引的读者是漫威粉丝
[0831.92-0833.48] 和军工爱好者的交集
[0833.48-0834.72] 这种文是可以写的
[0834.72-0836.96] 只不过他的受众相对来说少了一些
[0836.96-0838.20] 但是对于漫威粉丝
[0838.20-0840.24] 这些拥有相同认知的受众
[0840.24-0842.68] 这种小说的代入感反而更好建立
[0842.68-0844.36] 那么认知对题材的影响
[0844.36-0845.48] 头子就说清楚了
[0845.48-0845.88] 好了
[0845.88-0846.52] 注意事项
[0846.52-0847.96] 讲透我们盖上干货了
[0847.96-0851.20] 如何设定以认知为中心的经手指
[0851.24-0854.40] 头子就按照之前以能力为核心的框架
[0854.40-0856.00] 给大家平行迁移
[0856.00-0859.92] 捋出一套以认知为核心的经手指设定方法论
[0859.92-0861.88] 第一种思考方式直接获得认知
[0861.88-0863.68] 指的是简单粗暴一步到位
[0863.68-0866.08] 它的第一个角度是增加角色认知
[0866.08-0867.52] 指的是别人不知道的
[0867.52-0867.96] 我知道
[0867.96-0869.76] 操作方式是经手指提供
[0869.76-0871.60] 主角原本不知道的知识
[0871.60-0873.60] 信息 图纸 功法等
[0873.60-0874.88] 经手指形式有
[0874.88-0876.36] 系统商城 抽奖
[0876.36-0877.40] 兑换图纸功法
[0877.40-0879.40] 信息贯书 直接塞知识
[0879.48-0881.92] 藏宝图和秘籍获取独家信息
[0881.92-0883.28] 特殊视野或感知
[0883.28-0884.76] 看到隐藏信息
[0884.76-0886.32] 例子 升级选择系统
[0886.32-0888.36] 选项A 获得量子波动
[0888.36-0889.44] 速度法精通
[0889.44-0891.04] 选项B获得上股担道
[0891.04-0892.72] 真捷参片
[0892.72-0895.00] 第二个角度是增强角色认知
[0895.00-0897.56] 指的是别人知道的我理解的更深
[0897.56-0899.20] 操作方式是经手指
[0899.20-0901.40] 生化主角对已有知识的理解
[0901.40-0904.40] 提升其解析 推演 领悟能力
[0904.40-0905.48] 经手指形式有
[0905.48-0906.80] 物形溺天系统
[0906.80-0908.68] 功法技能解析 优化系统
[0908.68-0909.88] 思维加速器
[0909.88-0911.32] 超级学习推演模块
[0911.32-0912.80] 例子 大道感物系统
[0912.80-0913.96] 可消耗物性点
[0913.96-0914.84] 对于任何功法
[0914.84-0916.44] 技能进行深度解析
[0916.44-0917.56] 找出最优移
[0917.56-0918.64] 补权缺陷
[0918.64-0920.72] 第三个角度是直接给予认知
[0920.72-0921.60] 产生的结果
[0921.60-0922.92] 济负与角色能力
[0922.92-0924.44] 这其实是绕毁了能力
[0924.44-0926.80] 为中心的经手指设置方式
[0926.80-0928.16] 这里的投资又不重复了
[0928.16-0930.00] 有兴趣的可以重新回顾一下
[0930.00-0932.64] 投资劳动文开头那期视频
[0932.64-0935.84] 那么在了解第二种思考方式之前
[0935.84-0939.20] 投资要带大家再扩展一下认知的来源
[0939.20-0940.64] 认知来自于经历
[0940.64-0942.68] 经历多少决定认知的数量
[0942.68-0944.00] 同时天赋的高低
[0944.00-0945.36] 决定了认知的质量
[0946.64-0947.64] 相同经历下
[0947.64-0949.20] 天赋更高的角色认知
[0949.20-0951.28] 一定高于天赋低的角色认知
[0951.28-0952.80] 继续扩展天赋来自于什么
[0952.80-0953.84] 天赋来自于血统
[0953.84-0955.40] 同时天赋来自于传承
[0955.40-0957.44] 血统就不用投资给各位解释了吧
[0957.44-0958.68] 龙声龙 凤声凤
[0958.68-0960.48] 天赋来自于传承的意思是
[0960.48-0962.96] 同一个学生在不同老师的教导之下
[0962.96-0964.96] 成绩绝对会有差别
[0964.96-0967.36] 血统决定了天赋的高度传承
[0967.36-0969.20] 决定了天赋的开发程度
[0969.20-0970.04] 那么经历呢
[0970.04-0970.96] 经历来自于什么
[0970.96-0973.40] 经历来自于时间和空间的结合
[0973.40-0975.28] 时间决定了经历的长度
[0975.28-0977.48] 所谓我吃的盐比你吃的饭多
[0977.48-0978.56] 空间决定了经历
[0978.56-0980.04] 转换成认知的种类
[0980.04-0982.52] 在课堂学到的是书本上的知识
[0982.52-0985.24] 在社会中学到的是工作用得上的本事
[0985.24-0988.80] 时间与空间共同标记了经历的特殊性
[0988.80-0990.60] 过去的经历我们叫记忆
[0990.60-0993.08] 睡觉时产生的经历我们叫梦境
[0993.08-0994.84] 学校的经历我们叫青春
[0994.84-0996.12] 未来将要发生的经历
[0996.12-0996.96] 我们叫命运
[0996.96-0997.72] 推导到这儿
[0997.72-0999.92] 我们再回来看这第二种思考方式
[0999.92-1001.64] 大家应该会更容易理解了
[1001.64-1003.00] 第二种思考方式
[1003.00-1004.76] 间接获得认知
[1004.76-1006.04] 优点更巧妙
[1006.04-1007.04] 更有过程感
[1007.04-1008.40] 能融入剧情发展
[1008.40-1010.76] 第一种思考角度依靠自己间接获得
[1010.76-1012.48] 我们把它分成三个思考方向
[1012.48-1013.36] 思考方向
[1013.36-1015.20] 一获得增长认知的途径
[1015.20-1018.40] 指的是我们不直接给角色增长认知
[1018.40-1020.84] 而是增加角色认知增长的来源
[1021.88-1022.44] 回想一下
[1022.44-1025.00] 我们刚刚讲的直接获得认知的方法
[1025.00-1027.36] 系统直接增加角色的认知
[1027.36-1029.60] 对于角色本身来说也是一种经历
[1029.60-1031.20] 那么相对于其他的角色来说
[1031.20-1032.84] 这是主角单独的经历
[1032.84-1034.08] 头子已经讲过了
[1034.08-1035.76] 经历是认知来源之一
[1035.76-1037.88] 但是经历这个词范围还是很大
[1037.88-1040.12] 所以头子帮你缩小一下思考范围
[1040.12-1041.28] 制造单独的经历
[1041.28-1043.76] 才是增加角色认知的方法
[1043.76-1044.76] 操作方式
[1044.76-1046.60] 金手指提供获取新认知
[1046.60-1049.68] 或深化现有认知的独特渠道环境或方法
[1049.68-1052.24] 金手指形式是制造专属经历
[1052.24-1054.52] 比如时间加速的修炼空间
